Study_Hours_Per_Day,Attendance_Percent,Assignment_Score,Previous_Exam_Score,Result
7.97,59.85,94.56,59.53,Pass
4.95,96.22,66.26,48.06,Pass
8.73,65.36,56.34,70.3,Pass
7.28,56.68,69.8,54.02,Pass
1.85,79.97,90.16,37.16,Fail
9.78,71.69,77.42,60.1,Pass
7.85,92.34,87.29,63.45,Pass
8.07,91.37,69.63,48.54,Pass
2.15,69.27,76.14,69.35,Fail
5.05,97.88,53.73,68.95,Pass
4.34,68.09,82.77,77.12,Pass
9.34,78.18,48.16,73.88,Pass
6.79,66.52,80.16,74.15,Pass
8.4,97.12,90.95,53.97,Pass
4.99,62.41,43.59,82.25,Fail
3.05,57.02,74.93,67.95,Fail
5.99,74.58,41.18,60.89,Pass
1.57,99.66,82.17,72.56,Fail
8.45,95.13,40.49,56.64,Pass
6.68,88.69,95.84,65.76,Pass
7.82,95.09,43.93,79.2,Pass
4.19,95.21,97.33,88.18,Pass
9.74,78.35,87.06,90.26,Pass
9.04,69.22,73.59,65.22,Pass
8.01,89.74,85.87,66.22,Pass
2.75,84.77,86.68,82.99,Fail
5.2,71.81,96.49,53.87,Pass
1.39,59.25,51.47,85.24,Fail
2.39,88.61,73.35,64.65,Fail
7.15,66.81,41.18,41.95,Fail
7.7,97.16,75.05,39.32,Pass
9.71,65.84,46.13,85.52,Pass
3.93,60.52,71.72,38.33,Fail
4.33,92.4,72.21,51.84,Pass
5.23,61.9,65.29,55.05,Fail
2.71,63.07,68.97,45.38,Fail
2.17,81.97,84.66,53.83,Fail
5.28,94.36,86.95,79.56,Pass
3.04,63.84,66.99,35.88,Fail
7.03,68.96,73.97,84.63,Pass
4.93,89.98,95.53,86.39,Pass
8.49,98.73,42.78,57.34,Pass
7.3,77.53,42.61,44.22,Pass
3.81,61.48,40.7,71.05,Fail
8.49,55.63,77.76,42.18,Pass
8.24,65.33,62.21,56.9,Pass
4.49,60.93,85.33,92.51,Pass
3.59,85.49,78.63,94.73,Pass
7.14,60.48,56.69,81.33,Pass
2.26,77.78,93.39,53.66,Fail
2.8,86.24,84.56,76.26,Fail
1.07,81.15,52.58,77.32,Fail
8.08,63.99,58.67,58.27,Pass
6.98,91.19,55.44,73.45,Pass
7.35,87.19,45.24,35.64,Fail
8.03,88.25,44.61,47.54,Pass
5.13,60.9,95.85,66.51,Pass
6.12,60.57,63.46,44.83,Fail
2.26,96.74,59.92,44.95,Fail
2.03,72.89,82.43,85.18,Pass
7.02,68.54,70.94,94.35,Pass
5.24,76.99,95.85,68.36,Pass
6.09,84.83,85.72,85.34,Pass
7.88,98.0,66.16,94.42,Pass
6.71,67.89,59.46,43.5,Fail
5.98,96.62,99.13,61.89,Pass
6.03,56.12,81.65,58.55,Pass
3.74,79.98,96.83,39.8,Pass
1.28,83.53,42.7,80.32,Fail
4.93,59.77,90.28,61.03,Pass
2.93,61.32,76.41,63.16,Fail
4.68,73.86,42.92,44.04,Fail
8.68,98.48,73.24,45.86,Pass
3.11,81.82,79.6,89.43,Pass
1.52,96.99,35.8,37.68,Fail
3.53,91.2,64.53,48.97,Fail
3.64,76.03,88.65,52.52,Fail
6.96,90.31,54.2,64.41,Pass
6.01,55.8,64.81,70.19,Fail
8.06,59.91,63.75,64.6,Pass
6.98,92.32,54.63,40.05,Pass
4.66,90.86,94.7,49.62,Fail
8.33,65.47,85.78,85.62,Pass
2.5,78.88,42.19,73.26,Fail
1.2,82.27,99.81,73.95,Fail
1.81,94.05,92.15,75.21,Pass
7.5,82.14,53.45,80.77,Pass
5.16,73.57,89.4,38.49,Fail
2.45,71.84,41.92,57.0,Fail
5.51,74.16,99.94,67.37,Pass
2.37,84.34,78.27,55.31,Fail
7.27,94.04,77.26,85.67,Pass
5.02,75.43,40.88,63.95,Fail
4.43,66.15,93.31,81.12,Pass
3.71,65.65,36.88,86.12,Fail
6.67,88.57,50.65,65.29,Pass
4.26,91.75,44.3,89.57,Pass
1.79,59.74,85.49,70.23,Fail
2.06,58.0,47.88,86.02,Fail
9.66,81.75,94.19,55.44,Pass
9.18,61.58,77.66,64.93,Pass
7.3,92.11,37.35,66.88,Fail
3.39,68.97,35.35,41.3,Fail
9.72,61.47,38.36,58.91,Pass
8.01,96.44,74.39,90.04,Pass
7.45,62.45,87.1,72.85,Pass
5.04,67.81,50.51,45.65,Fail
3.45,61.91,90.21,55.33,Fail
1.87,60.2,38.72,46.5,Fail
9.12,55.95,87.06,36.49,Pass
5.1,57.49,95.31,90.65,Pass
2.82,62.86,85.19,61.89,Fail
3.75,57.4,80.38,53.45,Fail
6.21,81.6,89.47,70.91,Pass
2.59,85.63,37.61,35.44,Fail
8.71,72.71,48.12,51.68,Pass
7.83,69.31,43.12,77.18,Pass
7.48,77.7,67.79,73.03,Pass
4.89,94.38,83.44,93.91,Pass
6.65,93.3,75.95,72.22,Pass
6.26,56.96,90.32,63.65,Pass
6.85,63.17,45.09,80.69,Pass
1.76,65.65,82.75,89.2,Fail
4.74,66.22,47.55,78.24,Fail
1.37,80.71,52.6,92.79,Fail
5.45,73.73,81.14,81.92,Pass
3.97,57.22,98.71,87.01,Pass
2.3,71.81,74.75,41.85,Fail
1.93,78.57,38.54,78.94,Fail
6.29,59.58,75.06,61.41,Pass
2.54,92.51,37.75,68.19,Fail
9.33,57.34,92.47,74.25,Pass
6.23,96.62,81.12,93.19,Pass
4.12,59.46,46.25,94.07,Fail
6.32,92.96,40.96,52.29,Fail
1.21,95.62,46.93,79.03,Fail
9.63,99.08,98.7,80.0,Pass
5.34,91.09,64.81,55.79,Fail
8.04,90.08,85.97,42.43,Pass
1.74,83.91,76.37,37.46,Fail
5.38,90.05,72.21,81.64,Pass
5.42,61.05,44.43,64.38,Fail
9.44,79.12,96.49,94.13,Pass
6.15,78.14,54.59,62.9,Pass
5.26,93.59,72.57,93.68,Pass
3.4,75.83,80.49,59.69,Pass
3.98,72.33,77.2,82.62,Pass
5.69,83.78,96.14,40.09,Pass
4.95,66.99,44.65,68.33,Fail
1.19,61.29,68.04,83.12,Fail
8.44,76.5,61.26,90.48,Pass
9.07,73.76,65.82,84.35,Pass
2.26,65.47,42.75,37.22,Fail
5.99,71.54,43.72,57.36,Fail
1.98,71.49,53.07,37.92,Fail
7.05,69.74,54.81,41.56,Pass
3.53,72.08,62.81,75.52,Pass
6.93,85.86,74.71,77.8,Pass
7.54,68.36,76.25,81.42,Pass
7.92,97.7,61.77,86.93,Pass
